modelo,episodio,semilla,recompensa,pasos,resuelto
A2C - mejor checkpoint,1,1000,21.219363780614955,160,False
A2C - mejor checkpoint,2,1001,10.196894576277757,353,False
A2C - mejor checkpoint,3,1002,-90.08571059493603,1000,False
A2C - mejor checkpoint,4,1003,209.6872943166675,337,True
A2C - mejor checkpoint,5,1004,44.576721495929235,158,False
A2C - mejor checkpoint,6,1005,183.6387117605832,533,False
A2C - mejor checkpoint,7,1006,274.49448580839737,307,True
A2C - mejor checkpoint,8,1007,-20.049350701554374,274,False
A2C - mejor checkpoint,9,1008,-119.32272980429894,1000,False
A2C - mejor checkpoint,10,1009,-15.814066560620773,417,False
A2C - mejor checkpoint,11,1010,170.73335999362973,1000,False
A2C - mejor checkpoint,12,1011,-142.6130698636122,1000,False
A2C - mejor checkpoint,13,1012,200.89661153384372,544,True
A2C - mejor checkpoint,14,1013,-145.40024747788203,165,False
A2C - mejor checkpoint,15,1014,165.866503865232,686,False
A2C - mejor checkpoint,16,1015,-6.93110546808056,158,False
A2C - mejor checkpoint,17,1016,206.18195930315932,512,True
A2C - mejor checkpoint,18,1017,247.47521863587664,421,True
A2C - mejor checkpoint,19,1018,39.047203008667026,172,False
A2C - mejor checkpoint,20,1019,233.75274002014538,475,True
A2C - mejor checkpoint,21,1020,17.67163680300243,119,False
A2C - mejor checkpoint,22,1021,-100.11408095282682,1000,False
A2C - mejor checkpoint,23,1022,11.248463840179966,216,False
A2C - mejor checkpoint,24,1023,1.2655519881336375,335,False
A2C - mejor checkpoint,25,1024,276.6325647413309,323,True
A2C - mejor checkpoint,26,1025,-106.39821028895811,1000,False
A2C - mejor checkpoint,27,1026,241.77848030587327,462,True
A2C - mejor checkpoint,28,1027,-110.48175839558266,1000,False
A2C - mejor checkpoint,29,1028,265.41066267668185,320,True
A2C - mejor checkpoint,30,1029,59.5227454972748,217,False
