modelo,episodio,semilla,recompensa,pasos,resuelto
DQN - mejor checkpoint,1,1000,289.1681862991056,269,True
DQN - mejor checkpoint,2,1001,243.98763566411458,375,True
DQN - mejor checkpoint,3,1002,260.4673871487869,327,True
DQN - mejor checkpoint,4,1003,241.07030747768502,445,True
DQN - mejor checkpoint,5,1004,272.14653716946543,343,True
DQN - mejor checkpoint,6,1005,228.43314123900595,324,True
DQN - mejor checkpoint,7,1006,259.12041871516556,356,True
DQN - mejor checkpoint,8,1007,214.22108671700965,574,True
DQN - mejor checkpoint,9,1008,254.88902831684297,264,True
DQN - mejor checkpoint,10,1009,247.20856642913301,364,True
DQN - mejor checkpoint,11,1010,284.9010230817386,387,True
DQN - mejor checkpoint,12,1011,242.3228918752342,202,True
DQN - mejor checkpoint,13,1012,246.16581283848768,252,True
DQN - mejor checkpoint,14,1013,71.64998259531663,233,False
DQN - mejor checkpoint,15,1014,242.94916148401273,260,True
DQN - mejor checkpoint,16,1015,284.8230131401864,273,True
DQN - mejor checkpoint,17,1016,254.0431147903291,282,True
DQN - mejor checkpoint,18,1017,252.08576299558257,380,True
DQN - mejor checkpoint,19,1018,281.330710497827,252,True
DQN - mejor checkpoint,20,1019,267.28582754808895,259,True
DQN - mejor checkpoint,21,1020,213.00311033942097,723,True
DQN - mejor checkpoint,22,1021,196.24983542064467,698,False
DQN - mejor checkpoint,23,1022,259.0344712489258,389,True
DQN - mejor checkpoint,24,1023,253.80288854808126,287,True
DQN - mejor checkpoint,25,1024,296.4513653772491,241,True
DQN - mejor checkpoint,26,1025,278.2793075393496,213,True
DQN - mejor checkpoint,27,1026,294.422304640128,240,True
DQN - mejor checkpoint,28,1027,183.5902002387212,693,False
DQN - mejor checkpoint,29,1028,267.557618395799,255,True
DQN - mejor checkpoint,30,1029,266.1117395006678,272,True
